Year,Present_Price,Kms_Driven,Fuel_Type,Seller_Type,Transmission,Owner
2016,1.9,3000,Petrol,Individual,Manual,0
2015,10.0,27600,Petrol,Dealer,Manual,0
2015,9.4,61381,Diesel,Dealer,Manual,0
2014,0.787,15000,Petrol,Individual,Manual,0
2012,9.4,32322,Diesel,Dealer,Manual,0
2015,7.71,25870,Petrol,Dealer,Manual,0
2009,18.61,62000,Petrol,Dealer,Manual,0
2013,9.9,54242,Petrol,Dealer,Manual,0
2017,23.15,11000,Petrol,Dealer,Automatic,0
2012,0.99,13000,Petrol,Individual,Manual,0
2015,13.09,60076,Diesel,Dealer,Manual,0
2015,13.6,68000,Diesel,Dealer,Manual,0
2004,12.35,135154,Petrol,Dealer,Automatic,0
2017,8.7,21200,Petrol,Dealer,Manual,0
2016,8.89,20273,Diesel,Dealer,Manual,0
2012,9.4,36000,Petrol,Dealer,Manual,0
2014,3.98,46706,Petrol,Dealer,Manual,0
2016,0.84,25000,Petrol,Individual,Manual,0
2016,7.87,24524,Petrol,Dealer,Automatic,0
2013,0.73,12000,Petrol,Individual,Manual,0
2015,30.61,40000,Diesel,Dealer,Automatic,0
2011,8.01,50000,Petrol,Dealer,Automatic,0
2015,6.8,36000,Petrol,Dealer,Manual,0
2012,0.57,25000,Petrol,Individual,Manual,1
2015,0.54,14000,Petrol,Individual,Manual,0
2015,2.37,21700,Petrol,Individual,Manual,0
2007,0.75,49000,Petrol,Individual,Manual,1
